episode,reward,score,steps,epsilon,loss
1,-13.0,0,22,1.0,
2,-11.4,0,9,0.995,
3,-10.0,0,10,0.990025,
4,-13.6,0,25,0.985075,5.282299518585205
5,-10.4,0,20,0.98015,5.247915720939636
6,-14.8,0,37,0.975249,3.477130129530623
7,-13.6,0,13,0.970373,2.0862856828249416
8,-14.4,0,24,0.965521,1.2363539511958759
9,-15.0,0,45,0.960693,0.34000968171490564
10,-10.4,0,20,0.95589,0.07685195915400982
11,-9.8,0,11,0.95111,0.14744530973786657
12,-14.8,0,22,0.946355,0.13552457026459955
13,-13.0,0,13,0.941623,0.17334849043534353
14,-13.2,0,33,0.936915,0.11950701971848805
15,0.1,1,6,0.93223,0.0640730286637942
16,5.8,2,58,0.927569,0.23060472264628987
17,-0.3,1,22,0.922931,0.7685428569940004
18,-12.6,0,12,0.918316,0.9605045455197493
19,-12.2,0,8,0.913725,0.7114637587219477
20,-0.9,1,19,0.909156,0.775552042612904
21,0.3,1,10,0.90461,0.8552355960011482
22,-9.6,0,12,0.900087,0.6996164123217264
23,0.5,1,11,0.895587,1.1470137252049013
24,-14.6,0,32,0.891109,1.2172501953318715
25,-12.8,0,17,0.886654,0.7744976843104643
26,-0.7,1,20,0.88222,1.1191988632082939
27,-12.8,0,8,0.877809,1.078100472688675
28,-2.1,1,40,0.87342,1.1884372521191835
29,-0.1,1,5,0.869053,0.8502281665802002
30,-12.4,0,22,0.864708,1.0272858210585334
31,-10.8,0,9,0.860384,0.9909676710764567
32,-14.4,0,36,0.856082,1.083949697514375
33,7.0,2,46,0.851802,1.2838711038879727
34,-12.2,0,8,0.847543,1.5426445715129375
35,12.2,2,24,0.843305,1.3731558596094449
36,-13.0,0,40,0.839089,1.6284870132803917
37,-1.7,1,21,0.834893,1.5150061434223538
38,-11.0,0,8,0.830719,1.4996234625577927
39,-5.5,1,50,0.826565,1.4383450281620025
40,-1.3,1,32,0.822432,1.5542226303368807
41,0.3,1,19,0.81832,1.996760020130559
42,-10.2,0,6,0.814229,2.2651214798291526
43,0.1,1,9,0.810157,1.7864383724000719
44,-11.4,0,9,0.806107,1.9798614713880751
45,-1.5,1,25,0.802076,1.719774317741394
46,-11.4,0,6,0.798066,3.004487931728363
47,-10.0,0,7,0.794075,2.0795423643929616
48,-10.8,0,12,0.790105,2.2523567378520966
49,1.1,1,8,0.786154,2.566563054919243
50,-10.2,0,12,0.782224,2.1980968713760376
51,-12.0,0,9,0.778313,2.2996823125415378
