episode,reward,score,steps,epsilon,loss
1,-13.0,0,22,1.0,
2,-11.4,0,9,0.995,
3,-10.0,0,10,0.990025,
4,-13.6,0,25,0.985075,5.2831047375996905
5,-10.4,0,20,0.98015,5.145217967033386
6,-14.8,0,37,0.975249,3.2865130772461764
7,-13.6,0,13,0.970373,1.9342034138165987
8,-14.4,0,24,0.965521,1.084857776761055
9,-16.0,0,43,0.960693,0.33423345501339713
10,-10.8,0,24,0.95589,0.251034308069696
11,-9.8,0,8,0.95111,0.17612270452082157
12,-12.6,0,21,0.946355,0.1683258256387143
13,-11.8,0,13,0.941623,0.22705140709877014
14,-10.6,0,7,0.936915,0.29144217925412313
15,-16.0,0,49,0.93223,0.15251870689039326
16,-2.7,1,43,0.927569,0.08938693974253743
17,-0.5,1,27,0.922931,0.41145044372037604
18,-11.4,0,6,0.918316,0.8227791835864385
19,-11.0,0,8,0.913725,0.6299549359828234
20,-10.2,0,18,0.909156,0.39507393456167644
21,-12.2,0,11,0.90461,0.6381612460721623
22,9.8,2,24,0.900087,0.515255991059045
23,-2.7,1,37,0.895587,1.150674371703251
24,-12.8,0,17,0.891109,0.8599399784032036
25,0.1,1,3,0.886654,1.0377417008082073
26,-10.2,0,12,0.88222,0.5694103538990021
27,-12.4,0,19,0.877809,0.8190456275877199
28,-3.1,1,47,0.87342,0.9094037112403424
29,-12.0,0,15,0.869053,0.7255541826287906
30,-11.0,0,20,0.864708,0.7153222300112247
31,-14.2,0,28,0.860384,0.6912752009396043
32,9.8,2,21,0.856082,1.1023988354773748
33,-2.1,1,22,0.851802,0.8736250088973478
34,-10.0,0,13,0.847543,0.7486761120649484
35,-13.8,0,36,0.843305,0.67584810902675
36,-16.6,0,46,0.839089,0.8984410516593767
37,-14.2,0,46,0.834893,0.6840560384418654
38,-0.7,1,17,0.830719,0.641761393231504
39,-9.8,0,14,0.826565,1.1812091725213187
40,-12.6,0,30,0.822432,0.9764760831991831
41,-11.4,0,27,0.81832,0.940991195263686
42,-11.4,0,18,0.814229,1.2089045080873702
43,-12.6,0,30,0.810157,1.6075847744941711
44,-9.4,0,10,0.806107,1.7447251439094544
45,-13.2,0,12,0.802076,1.109364519516627
46,-1.9,1,32,0.798066,1.1165657537057996
47,-2.1,1,31,0.794075,1.2094615236405404
48,-15.6,0,57,0.790105,1.4433041188800544
49,31.4,4,44,0.786154,1.5168483352119273
50,-11.4,0,12,0.782224,2.107809454202652
