episode,reward,score,steps,epsilon,loss
1,-11.8,0,25,1.0,
2,-10.8,0,18,0.995,
3,-13.2,0,9,0.990025,
4,-12.6,0,15,0.985075,
5,-12.2,0,8,0.98015,
6,-17.0,0,65,0.975249,3.6820301826183615
7,-10.2,0,12,0.970373,3.51731284459432
8,-10.0,0,13,0.965521,3.0437866357656627
9,-12.2,0,20,0.960693,2.6327045559883118
10,-13.2,0,12,0.95589,1.849673752983411
11,-9.2,0,8,0.95111,1.0758982971310616
12,-13.4,0,35,0.946355,0.5232425991977964
13,-14.0,0,20,0.941623,0.11409713737666607
14,-11.8,0,16,0.936915,0.07100548036396503
15,-16.6,0,37,0.93223,0.04479766888795672
16,-11.6,0,17,0.927569,0.05677895138368887
17,-14.2,0,34,0.922931,0.049801892217467815
18,-11.0,0,8,0.918316,0.024275832576677203
19,-10.2,0,6,0.913725,0.044568806886672974
20,-13.6,0,25,0.909156,0.0395932487398386
21,-14.6,0,32,0.90461,0.03752915663062595
22,1.5,1,10,0.900087,0.12466181628406048
23,-0.9,1,16,0.895587,0.21806187031324953
24,-13.4,0,38,0.891109,0.37843598209713636
25,-15.0,0,39,0.886654,0.2548435343763767
26,-10.4,0,17,0.88222,0.26096801941885667
27,-12.4,0,25,0.877809,0.21579298585653306
28,-13.0,0,16,0.87342,0.32565296604298055
29,-10.4,0,14,0.869053,0.2617306914180517
30,-10.4,0,8,0.864708,0.3123756358399987
31,-12.2,0,23,0.860384,0.3166998469311258
32,-0.1,1,26,0.856082,0.4760206788778305
33,-9.6,0,9,0.851802,0.3949069471822845
34,-10.4,0,8,0.847543,0.5336620453745127
35,-0.7,1,8,0.843305,0.7333881035447121
36,-12.0,0,15,0.839089,0.4018987774848938
37,-12.0,0,36,0.834893,0.5168956903119882
38,-14.2,0,19,0.830719,0.43475686680329473
39,-12.2,0,14,0.826565,0.3288375437259674
40,-13.2,0,30,0.822432,0.3115213043987751
41,0.7,1,15,0.81832,0.4502236063281695
42,-10.6,0,10,0.814229,0.618000790476799
43,-0.1,1,8,0.810157,0.7858641445636749
44,0.1,1,27,0.806107,0.6823916915390227
45,-11.0,0,14,0.802076,0.8773041356887136
46,-12.4,0,34,0.798066,0.7181000926477068
47,-11.0,0,17,0.794075,0.659386528765454
48,-1.5,1,22,0.790105,0.7230502102862705
49,-9.8,0,8,0.786154,0.47809484601020813
50,-10.8,0,9,0.782224,0.6137503501441743
51,-19.0,0,82,0.778313,0.7213919623414191
52,-10.8,0,12,0.774421,0.6155358689526716
53,-10.2,0,12,0.770549,0.7058038587371508
54,-10.4,0,11,0.766696,0.6317730830474333
55,-1.7,1,24,0.762863,0.705383650958538
56,-12.4,0,28,0.759048,0.8547839490430695
57,-9.0,0,6,0.755253,0.9271658957004547
58,-10.0,0,13,0.751477,0.8423013870532696
59,-1.7,1,30,0.747719,0.7840626736481985
60,-9.8,0,8,0.743981,0.6286808513104916
61,-1.1,1,21,0.740261,0.9363479216893514
62,-12.4,0,16,0.73656,0.7404773291200399
63,-12.6,0,18,0.732877,0.7054023378425174
64,-0.3,1,19,0.729212,0.8231647563608069
65,-11.6,0,26,0.725566,0.801778895350603
66,0.3,1,10,0.721939,0.8194947212934494
67,-2.5,1,44,0.718329,0.8761731555516069
68,10.6,2,34,0.714737,0.9089767827707178
