episode,reward,score,steps,epsilon,loss
1,-14.4,0,30,1.0,
2,-13.6,0,22,0.995,
3,-14.8,0,46,0.990025,2.666710167484624
4,-12.4,0,13,0.985075,3.10575961206968
5,-11.4,0,30,0.98015,3.905466034511725
6,-13.0,0,10,0.975249,3.7170604176819326
7,-12.2,0,11,0.970373,4.1263545101339165
8,-11.6,0,8,0.965521,4.309934213757515
9,-12.4,0,16,0.960693,4.1469676941633224
10,-11.2,0,25,0.95589,3.8553346386551857
11,-11.8,0,13,0.95111,5.612814371402447
12,-15.4,0,46,0.946355,3.829550639118837
13,-10.8,0,15,0.941623,3.387269941965739
14,-12.6,0,33,0.936915,3.0965655951788933
15,-0.1,1,11,0.93223,2.462744951248169
16,-12.2,0,17,0.927569,4.146884273080265
17,-12.8,0,17,0.922931,3.69660442804589
18,-12.4,0,13,0.918316,3.7083419469686656
19,-10.6,0,10,0.913725,4.31886864900589
20,0.1,1,9,0.909156,3.995077888170878
21,-13.4,0,23,0.90461,4.1471192059309585
22,-16.0,0,43,0.900087,3.2695165425539017
23,-14.2,0,25,0.895587,2.857786099910736
24,-9.4,0,7,0.891109,3.4884033799171448
25,-1.9,1,26,0.886654,3.715599082983457
26,-15.0,0,39,0.88222,2.8673277451441836
27,-0.5,1,9,0.877809,3.348567525545756
28,-11.4,0,9,0.87342,3.5157959726121693
29,0.1,1,9,0.869053,2.900911569595337
30,-14.2,0,22,0.864708,3.6123623793775383
31,-12.8,0,14,0.860384,3.5666250501360213
32,0.3,1,16,0.856082,2.7530839405953884
33,-12.6,0,12,0.851802,3.1403618355592093
34,-5.3,1,33,0.847543,3.021716518835588
35,-2.3,1,30,0.843305,3.03376932789882
36,-2.5,1,23,0.839089,2.913386344909668
37,-12.4,0,10,0.834893,2.7779220759868624
38,-11.4,0,12,0.830719,2.6499939312537513
39,-13.6,0,13,0.826565,4.049942566798284
40,-1.5,1,7,0.822432,2.561907870428903
41,-1.7,1,18,0.81832,3.982853137784534
42,-13.0,0,22,0.814229,2.8566800274632196
43,-11.6,0,8,0.810157,2.345696195960045
44,-11.2,0,19,0.806107,2.500527499537719
45,-0.1,1,8,0.802076,2.6063345670700073
46,0.7,1,15,0.798066,2.774063817660014
47,-3.5,1,45,0.794075,2.96530524790287
48,-10.0,0,10,0.790105,3.1861233353614806
49,-2.5,1,32,0.786154,2.8884733272716403
50,-13.2,0,30,0.782224,2.66133241156737
51,-11.0,0,23,0.778313,3.3777982359347134
52,-10.0,0,13,0.774421,2.3287882025425253
53,-14.4,0,24,0.770549,2.269088021169106
54,-10.2,0,6,0.766696,2.0308065017064414
55,-10.0,0,19,0.762863,2.7406654279482994
56,0.1,1,9,0.759048,3.171114510960049
57,-12.2,0,29,0.755253,2.501333251081664
58,-13.8,0,45,0.751477,2.422157475683424
59,-12.6,0,33,0.747719,2.324939915628144
60,-0.7,1,29,0.743981,1.82126011930663
61,-11.2,0,19,0.740261,2.559984232250013
62,-0.9,1,19,0.73656,2.240657941291207
63,0.7,1,6,0.732877,2.895978629589081
64,-13.8,0,30,0.729212,2.475091067949931
65,-12.0,0,27,0.725566,2.760306417942047
66,-0.1,1,8,0.721939,2.038108691573143
67,0.7,1,18,0.718329,1.9387942966487672
68,-11.6,0,41,0.714737,2.5713585335307005
69,0.9,1,13,0.711164,2.2151656471765957
70,-12.2,0,26,0.707608,1.993504510476039
71,-11.0,0,11,0.70407,1.8876060139049182
72,-9.6,0,6,0.700549,1.7085042297840118
73,-1.3,1,32,0.697047,2.1364160594530404
74,8.4,2,47,0.693561,1.6849895684008902
75,0.3,1,7,0.690094,1.2197083617959703
76,8.4,2,59,0.686643,2.2475848551523887
77,-12.0,0,18,0.68321,2.372226822707388
78,8.2,2,49,0.679794,1.583494489898487
79,3.8,2,66,0.676395,2.0805450108918278
80,-11.4,0,27,0.673013,1.7154743417545602
81,-13.0,0,28,0.669648,1.5556766507881028
82,9.6,2,26,0.6663,1.9179957211017609
