episode,reward,score,steps,loss
1,-12.6,0,15,
2,-12.0,0,6,
3,-14.4,0,21,
4,-12.4,0,16,
5,-0.7,1,23,
6,-10.6,0,13,
7,-10.6,0,10,
8,-11.6,0,14,
9,-9.2,0,11,
10,-13.2,0,39,
11,-10.4,0,11,
12,-12.0,0,6,
13,-15.0,0,30,
14,-14.4,0,30,
15,-13.4,0,17,
16,-13.2,0,21,
17,-11.6,0,17,
18,-11.2,0,7,
19,-11.8,0,10,
20,-10.8,0,6,
21,-10.6,0,7,
22,-11.4,0,15,
23,-12.4,0,13,
24,-15.6,0,48,
25,-11.2,0,16,
26,-13.8,0,30,
27,-13.4,0,23,
28,-12.2,0,11,
29,-1.3,1,8,
30,-12.4,0,19,
31,-12.2,0,11,
32,-11.6,0,8,
33,-10.2,0,27,
34,-12.4,0,10,
35,-11.4,0,12,
36,-12.2,0,11,
37,-12.4,0,13,
38,-14.6,0,38,
39,-16.4,0,38,
40,-12.2,0,17,
41,-12.8,0,20,
42,-11.8,0,10,
43,-10.4,0,14,
44,-15.4,0,37,
45,-13.6,0,22,
46,-13.2,0,9,
47,0.1,1,3,
48,-12.2,0,8,
49,-11.8,0,7,
50,-11.6,0,8,
51,-12.4,0,7,
52,-10.8,0,15,
53,-14.2,0,28,
54,-12.8,0,17,
55,-13.6,0,40,
56,-13.2,0,18,
57,-15.8,0,47,
58,8.8,2,31,
59,-0.7,1,20,
60,0.3,1,13,
61,-4.3,1,47,
62,-9.8,0,17,
63,-2.1,1,46,
64,-12.0,0,18,
65,-10.6,0,13,
66,-16.0,0,34,
67,-13.6,0,10,
68,-13.2,0,18,
69,-1.5,1,22,
70,-11.6,0,5,
71,-13.4,0,11,
72,-11.8,0,7,
73,-14.0,0,14,
74,-12.6,0,18,
75,-14.0,0,32,
76,-13.0,0,13,
77,-13.8,0,12,
78,-10.6,0,7,
79,0.5,1,20,
80,-11.4,0,9,
81,-10.4,0,8,
82,-12.2,0,11,
83,-12.6,0,15,
84,-11.8,0,10,
85,-11.6,0,5,
86,10.2,2,32,
87,-11.6,0,8,
88,-11.0,0,17,
89,-14.4,0,24,
90,-11.0,0,14,
91,-13.6,0,10,
92,-13.0,0,22,
93,-13.2,0,9,
94,-11.2,0,7,
95,-12.6,0,9,
96,-11.8,0,7,
97,-12.0,0,6,
98,-0.7,1,17,
99,-14.0,0,29,
100,-12.8,0,14,
101,-12.4,0,10,
102,-13.0,0,16,
103,0.3,1,10,
104,-11.6,0,8,
105,-12.2,0,11,
106,-14.4,0,15,
107,-15.2,0,29,
108,-10.8,0,15,
109,-4.7,1,51,
110,-12.6,0,12,
111,-10.4,0,11,
112,-11.2,0,7,
113,-12.4,0,10,
114,-14.4,0,33,
115,-11.6,0,23,
116,-12.0,0,9,
117,-12.8,0,8,
118,-18.0,0,60,0.48024654388427734
119,-1.1,1,9,0.48024654388427734
120,-10.4,0,8,0.48024654388427734
121,-12.0,0,9,0.48024654388427734
122,-13.0,0,13,0.48024654388427734
123,-13.2,0,12,0.48024654388427734
124,-10.8,0,9,0.48024654388427734
125,-10.2,0,21,0.48024654388427734
126,-11.2,0,7,0.48024654388427734
127,-12.4,0,13,0.48024654388427734
128,-9.8,0,8,0.48024654388427734
129,-12.0,0,24,0.48024654388427734
130,-12.2,0,17,0.48024654388427734
131,-8.8,0,7,0.48024654388427734
132,-13.2,0,18,0.48024654388427734
133,-14.4,0,21,0.48024654388427734
134,-11.2,0,10,0.48024654388427734
