episode,reward,score,steps,epsilon
1,-9.8,0,20,0.2
2,0.1,1,15,0.2
3,0.9,1,7,0.2
4,0.7,1,12,0.2
5,0.1,1,6,0.2
6,-9.6,0,9,0.2
7,9.8,2,27,0.2
8,0.7,1,12,0.2
9,0.5,1,14,0.2
10,-9.8,0,8,0.2
11,23.7,3,30,0.2
12,19.9,3,23,0.2
13,12.0,2,17,0.2
14,21.5,3,22,0.2
15,-10.2,0,12,0.2
16,44.7,5,68,0.2
17,22.9,3,38,0.2
18,0.7,1,6,0.2
19,41.3,5,33,0.2
20,12.0,2,26,0.2
21,-9.4,0,7,0.2
22,23.9,3,46,0.2
23,23.5,3,26,0.2
24,11.4,2,20,0.2
25,30.2,4,26,0.2
26,1.1,1,17,0.2
27,11.6,2,18,0.2
28,44.3,5,39,0.2
29,-9.0,0,12,0.2
30,11.6,2,12,0.2
31,41.9,5,48,0.2
32,11.8,2,25,0.2
33,22.3,3,17,0.2
34,22.7,3,28,0.2
35,-0.3,1,13,0.2
36,0.9,1,13,0.2
37,0.1,1,6,0.2
38,0.7,1,9,0.2
39,-8.6,0,8,0.2
40,0.5,1,14,0.2
41,-9.0,0,6,0.2
42,54.8,6,43,0.2
43,56.2,6,65,0.2
44,11.2,2,31,0.2
45,12.4,2,22,0.2
46,0.7,1,9,0.2
47,10.2,2,8,0.2
48,42.5,5,45,0.2
49,42.7,5,49,0.2
50,0.1,1,12,0.2
51,0.3,1,7,0.2
52,11.6,2,24,0.2
53,0.9,1,16,0.2
54,12.2,2,18,0.2
55,11.0,2,9,0.2
56,22.9,3,23,0.2
57,53.4,6,45,0.2
58,22.1,3,25,0.2
59,44.3,5,45,0.2
60,52.8,6,36,0.2
61,11.8,2,13,0.2
62,34.4,4,38,0.2
63,35.4,4,40,0.2
64,23.3,3,40,0.2
65,23.3,3,31,0.2
66,34.0,4,36,0.2
67,11.2,2,25,0.2
68,85.7,9,67,0.2
69,22.3,3,29,0.2
70,-0.1,1,5,0.2
71,12.6,2,29,0.2
72,45.9,5,47,0.2
73,44.5,5,73,0.2
74,54.2,6,52,0.2
75,43.3,5,43,0.2
76,73.8,8,71,0.2
77,55.2,6,54,0.2
78,0.1,1,3,0.2
79,-9.6,0,6,0.2
80,31.8,4,31,0.2
81,86.3,9,67,0.2
82,22.3,3,23,0.2
83,23.3,3,28,0.2
84,1.3,1,9,0.2
85,32.0,4,35,0.2
86,25.3,3,38,0.2
87,11.4,2,17,0.2
88,12.4,2,19,0.2
89,33.4,4,24,0.2
90,23.7,3,30,0.2
91,33.2,4,32,0.2
92,1.3,1,18,0.2
93,13.0,2,25,0.2
94,34.0,4,42,0.2
95,89.7,9,93,0.2
96,41.5,5,28,0.2
97,42.1,5,31,0.2
98,0.5,1,17,0.2
99,0.7,1,15,0.2
100,44.9,5,51,0.2
101,1.3,1,12,0.2
102,56.8,6,56,0.2
103,23.1,3,24,0.2
104,73.4,8,54,0.2
105,88.7,9,70,0.2
106,64.5,7,61,0.2
107,33.6,4,34,0.2
108,102.4,10,93,0.2
109,0.3,1,10,0.2
110,11.0,2,12,0.2
111,-9.2,0,8,0.2
112,45.1,5,37,0.2
113,86.3,9,61,0.2
114,55.4,6,55,0.2
115,81.9,9,72,0.2
116,53.6,6,73,0.2
117,24.9,3,39,0.2
118,21.1,3,29,0.2
119,20.9,3,13,0.2
120,11.6,2,12,0.2
121,1.5,1,10,0.2
122,0.7,1,9,0.2
123,31.2,4,28,0.2
124,24.1,3,35,0.2
125,-9.2,0,5,0.2
126,12.4,2,19,0.2
127,22.5,3,27,0.2
128,46.1,5,42,0.2
129,45.1,5,46,0.2
130,32.8,4,27,0.2
131,0.5,1,20,0.2
132,53.2,6,47,0.2
133,56.0,6,61,0.2
134,46.9,5,52,0.2
135,19.5,3,24,0.2
136,22.1,3,31,0.2
137,21.3,3,15,0.2
138,0.5,1,8,0.2
139,21.3,3,18,0.2
140,45.1,5,49,0.2
141,0.1,1,3,0.2
142,54.6,6,75,0.2
143,32.6,4,32,0.2
144,12.0,2,17,0.2
145,3.1,1,27,0.2
146,23.5,3,35,0.2
147,66.5,7,68,0.2
148,21.3,3,30,0.2
149,19.7,3,37,0.2
150,42.3,5,35,0.2
151,1.5,1,13,0.2
152,67.5,7,55,0.2
153,22.3,3,35,0.2
154,46.3,5,49,0.2
155,44.9,5,63,0.2
156,11.4,2,11,0.2
157,31.2,4,25,0.2
158,88.9,9,77,0.2
159,32.4,4,28,0.2
160,0.9,1,19,0.2
161,1.1,1,11,0.2
162,22.1,3,40,0.2
163,11.4,2,11,0.2
164,23.5,3,32,0.2
165,0.5,1,20,0.2
166,21.5,3,25,0.2
167,12.2,2,30,0.2
168,23.5,3,41,0.2
169,46.3,5,43,0.2
170,23.7,3,30,0.2
171,22.9,3,35,0.2
172,0.5,1,11,0.2
173,10.4,2,15,0.2
174,10.2,2,17,0.2
175,0.7,1,15,0.2
176,43.5,5,26,0.2
177,-8.6,0,11,0.2
178,33.6,4,25,0.2
179,99.6,10,118,0.2
180,22.1,3,28,0.2
181,45.5,5,42,0.2
182,1.3,1,27,0.2
183,62.3,7,53,0.2
184,43.7,5,42,0.2
185,23.3,3,31,0.2
186,74.2,8,46,0.2
187,34.0,4,36,0.2
188,1.1,1,32,0.2
189,65.1,7,49,0.2
190,31.0,4,30,0.2
191,-0.5,1,6,0.2
192,11.2,2,13,0.2
193,31.8,4,34,0.2
194,23.7,3,27,0.2
195,30.4,4,24,0.2
196,14.2,2,28,0.2
197,77.8,8,61,0.2
198,-0.7,1,11,0.2
199,0.5,1,14,0.2
200,44.5,5,49,0.2
201,31.8,4,28,0.2
202,10.6,2,22,0.2
203,76.8,8,59,0.2
204,23.9,3,37,0.2
205,21.3,3,30,0.2
206,61.3,7,66,0.2
207,42.5,5,42,0.2
208,34.0,4,33,0.2
209,22.5,3,21,0.2
210,1.3,1,9,0.2
211,74.4,8,44,0.2
212,21.9,3,30,0.2
213,66.1,7,78,0.2
214,52.4,6,64,0.2
215,-9.0,0,9,0.2
216,1.1,1,8,0.2
217,22.3,3,20,0.2
218,21.1,3,23,0.2
219,1.1,1,17,0.2
220,55.2,6,45,0.2
221,65.7,7,49,0.2
222,-9.8,0,14,0.2
223,11.4,2,11,0.2
224,52.4,6,58,0.2
225,42.1,5,22,0.2
226,35.0,4,56,0.2
227,13.0,2,25,0.2
228,22.5,3,27,0.2
229,44.5,5,52,0.2
230,43.9,5,52,0.2
231,-8.8,0,7,0.2
232,19.9,3,14,0.2
233,44.1,5,38,0.2
234,23.5,3,35,0.2
235,89.3,9,103,0.2
236,43.7,5,39,0.2
237,0.5,1,11,0.2
238,11.2,2,25,0.2
239,21.5,3,22,0.2
240,43.7,5,33,0.2
241,98.0,10,77,0.2
242,21.1,3,50,0.2
243,31.6,4,18,0.2
244,54.8,6,46,0.2
245,31.8,4,58,0.2
246,13.4,2,21,0.2
247,0.5,1,11,0.2
248,-9.6,0,9,0.2
249,-0.1,1,14,0.2
250,-0.1,1,14,0.2
251,0.1,1,3,0.2
252,12.4,2,31,0.2
253,-0.3,1,13,0.2
254,25.1,3,46,0.2
