episode,reward,score,steps,epsilon
1,-13.2,0,18,1.0
2,-13.0,0,19,0.985
3,-15.0,0,51,0.970225
4,-13.8,0,24,0.955672
5,-10.4,0,14,0.941337
6,-0.5,1,18,0.927217
7,-11.0,0,8,0.913308
8,-13.6,0,13,0.899609
9,-9.2,0,8,0.886115
10,19.3,3,29,0.872823
11,-12.4,0,7,0.85973
12,-12.0,0,9,0.846834
13,-10.0,0,13,0.834132
14,-12.2,0,20,0.82162
15,-11.4,0,6,0.809296
16,-6.9,1,76,0.797156
17,-11.0,0,26,0.785199
18,-0.7,1,11,0.773421
19,-13.8,0,51,0.76182
20,-16.0,0,49,0.750392
21,-12.6,0,30,0.739136
22,21.3,3,57,0.728049
23,-1.5,1,22,0.717129
24,-10.4,0,11,0.706372
25,-11.8,0,19,0.695776
26,-0.1,1,8,0.685339
27,-10.4,0,14,0.675059
28,10.2,2,14,0.664934
29,-2.1,1,34,0.65496
30,-9.4,0,10,0.645135
31,0.1,1,15,0.635458
32,-1.9,1,23,0.625926
33,-14.0,0,26,0.616537
34,-0.1,1,8,0.607289
35,10.4,2,33,0.59818
36,-0.5,1,24,0.589207
37,-9.2,0,8,0.580369
38,10.0,2,43,0.571664
39,9.4,2,25,0.563089
40,-10.0,0,13,0.554642
41,10.0,2,28,0.546323
42,0.1,1,12,0.538128
43,-0.7,1,20,0.530056
44,-11.4,0,15,0.522105
45,-0.5,1,18,0.514273
46,10.8,2,11,0.506559
47,-0.5,1,27,0.498961
48,-0.9,1,10,0.491477
49,0.9,1,7,0.484104
50,2.3,1,17,0.476843
51,-0.7,1,32,0.46969
52,10.4,2,30,0.462645
53,1.3,1,9,0.455705
54,-9.4,0,13,0.44887
55,-0.5,1,6,0.442137
56,1.3,1,12,0.435505
57,-8.4,0,9,0.428972
58,9.0,2,26,0.422537
59,1.3,1,9,0.416199
60,0.3,1,22,0.409956
61,31.2,4,13,0.403807
62,-0.9,1,13,0.39775
63,12.2,2,36,0.391784
64,2.3,1,20,0.385907
65,-8.8,0,7,0.380118
66,-9.2,0,8,0.374417
67,41.9,5,36,0.3688
68,1.9,1,21,0.363268
69,22.5,3,21,0.357819
70,35.4,4,55,0.352452
71,20.3,3,25,0.347165
72,10.0,2,19,0.341958
73,12.6,2,23,0.336828
74,31.6,4,21,0.331776
75,10.6,2,19,0.326799
76,10.8,2,11,0.321897
77,1.3,1,18,0.317069
78,31.0,4,42,0.312313
79,1.1,1,17,0.307628
80,-8.6,0,11,0.303014
81,0.1,1,9,0.298468
82,20.9,3,19,0.293991
83,21.9,3,39,0.289582
84,10.2,2,29,0.285238
85,22.1,3,37,0.280959
86,0.5,1,14,0.276745
87,44.1,5,47,0.272594
88,19.7,3,10,0.268505
89,21.3,3,15,0.264477
90,21.9,3,30,0.26051
91,-8.8,0,10,0.256602
92,23.3,3,34,0.252753
93,11.4,2,11,0.248962
94,12.6,2,44,0.245228
95,77.8,8,58,0.241549
96,21.9,3,33,0.237926
97,21.9,3,30,0.234357
98,9.6,2,14,0.230842
99,44.1,5,41,0.227379
100,11.2,2,10,0.223968
101,2.5,1,21,0.220609
102,0.7,1,12,0.2173
103,46.1,5,63,0.21404
104,46.7,5,51,0.21083
105,97.0,10,72,0.207667
106,10.6,2,13,0.204552
107,77.8,8,52,0.201484
108,53.6,6,28,0.198462
109,44.7,5,47,0.195485
110,0.7,1,15,0.192552
111,51.2,6,37,0.189664
112,44.5,5,52,0.186819
113,33.8,4,32,0.184017
114,45.3,5,44,0.181257
115,22.3,3,26,0.178538
116,22.7,3,22,0.17586
117,46.1,5,45,0.173222
118,111.7,11,97,0.170624
119,14.0,2,27,0.168064
120,85.7,9,58,0.165543
121,52.4,6,22,0.16306
122,52.8,6,57,0.160614
123,81.2,8,90,0.158205
124,98.0,10,80,0.155832
125,1.1,1,8,0.153494
126,86.1,9,66,0.151192
127,56.6,6,55,0.148924
128,55.8,6,54,0.14669
129,31.8,4,28,0.14449
130,1.1,1,8,0.142323
131,79.6,8,76,0.140188
132,49.3,5,61,0.138085
133,43.5,5,35,0.136014
134,42.5,5,24,0.133973
135,22.3,3,32,0.131964
136,11.4,2,23,0.129984
137,107.7,11,74,0.128035
138,76.6,8,67,0.126114
139,11.2,2,22,0.124222
140,96.4,10,51,0.122359
141,23.7,3,27,0.120524
142,45.3,5,41,0.118716
143,54.6,6,36,0.116935
144,23.3,3,22,0.115181
145,1.3,1,9,0.113453
146,56.8,6,53,0.111752
147,123.6,12,108,0.110075
148,76.0,8,49,0.108424
149,32.4,4,22,0.106798
150,23.7,3,30,0.105196
151,86.9,9,64,0.103618
152,12.4,2,16,0.102064
153,65.3,7,44,0.100533
154,122.0,12,94,0.099025
155,101.6,10,86,0.097539
156,45.3,5,47,0.096076
157,0.3,1,10,0.094635
158,35.0,4,35,0.093216
159,0.9,1,7,0.091817
160,0.5,1,5,0.09044
161,31.4,4,23,0.089083
162,21.3,3,21,0.087747
163,43.7,5,39,0.086431
164,22.3,3,35,0.085134
