episode,reward,score,steps,epsilon
1,-9.6,0,9,1.0
2,-2.3,1,12,0.995
3,-14.4,0,24,0.990025
4,-10.8,0,9,0.985075
5,-11.2,0,19,0.98015
6,-13.4,0,14,0.975249
7,0.3,1,7,0.970373
8,-11.8,0,22,0.965521
9,-0.5,1,6,0.960693
10,-16.2,0,45,0.95589
11,-12.8,0,14,0.95111
12,-1.3,1,11,0.946355
13,-10.6,0,25,0.941623
14,-11.6,0,23,0.936915
15,-19.2,0,87,0.93223
16,-12.6,0,9,0.927569
17,-11.4,0,9,0.922931
18,9.2,2,42,0.918316
19,-1.3,1,32,0.913725
20,-13.0,0,13,0.909156
21,-12.6,0,27,0.90461
22,0.5,1,23,0.900087
23,-11.2,0,7,0.895587
24,-1.9,1,20,0.891109
25,0.7,1,9,0.886654
26,-10.4,0,8,0.88222
27,-11.4,0,15,0.877809
28,-13.6,0,31,0.87342
29,-12.2,0,14,0.869053
30,-12.6,0,30,0.864708
31,-1.5,1,28,0.860384
32,-12.2,0,20,0.856082
33,0.3,1,16,0.851802
34,-11.0,0,8,0.847543
35,-16.8,0,54,0.843305
36,-11.2,0,19,0.839089
37,-0.7,1,8,0.834893
38,-11.0,0,14,0.830719
39,-12.4,0,13,0.826565
40,-10.6,0,10,0.822432
41,-12.0,0,9,0.81832
42,-13.0,0,25,0.814229
43,-10.4,0,11,0.810157
44,-11.6,0,29,0.806107
45,-2.5,1,26,0.802076
46,33.4,4,48,0.798066
47,-1.9,1,23,0.794075
48,-1.1,1,18,0.790105
49,0.1,1,12,0.786154
50,0.7,1,12,0.782224
51,-11.6,0,11,0.778313
52,-2.7,1,43,0.774421
53,-9.8,0,23,0.770549
54,-14.2,0,25,0.766696
55,0.5,1,20,0.762863
56,-2.7,1,34,0.759048
57,-14.0,0,23,0.755253
58,-12.6,0,15,0.751477
59,-11.8,0,13,0.747719
60,-11.2,0,7,0.743981
61,-9.6,0,12,0.740261
62,0.1,1,18,0.73656
63,-2.3,1,21,0.732877
64,-9.6,0,6,0.729212
65,9.4,2,31,0.725566
66,-2.5,1,11,0.721939
67,10.2,2,44,0.718329
68,-0.3,1,10,0.714737
69,-11.2,0,7,0.711164
70,1.3,1,18,0.707608
71,-12.4,0,19,0.70407
72,9.8,2,18,0.700549
73,0.7,1,12,0.697047
74,9.0,2,20,0.693561
75,-9.8,0,11,0.690094
76,-9.6,0,6,0.686643
77,0.5,1,14,0.68321
78,-10.8,0,9,0.679794
79,-9.8,0,11,0.676395
80,9.0,2,17,0.673013
81,-9.2,0,8,0.669648
82,-1.5,1,31,0.6663
83,0.3,1,10,0.662968
84,-0.1,1,11,0.659653
85,10.0,2,19,0.656355
86,-9.4,0,7,0.653073
87,-14.0,0,38,0.649808
88,-1.5,1,16,0.646559
89,8.8,2,28,0.643326
90,-9.2,0,8,0.640109
91,29.6,4,44,0.636909
92,-11.4,0,18,0.633724
93,-3.3,1,40,0.630556
94,-1.5,1,28,0.627403
95,-10.6,0,7,0.624266
96,-0.5,1,6,0.621145
97,-4.1,1,63,0.618039
98,9.6,2,8,0.614949
99,-11.8,0,31,0.611874
100,-10.0,0,10,0.608815
101,-9.4,0,16,0.60577
102,1.1,1,20,0.602742
103,-10.2,0,12,0.599728
104,-10.4,0,14,0.596729
105,1.3,1,21,0.593746
106,-10.2,0,18,0.590777
107,10.4,2,9,0.587823
108,18.7,3,50,0.584884
109,-0.3,1,10,0.581959
110,0.5,1,8,0.57905
111,0.9,1,13,0.576154
112,0.1,1,12,0.573274
113,-0.3,1,13,0.570407
114,0.9,1,13,0.567555
115,-0.3,1,16,0.564717
116,18.5,3,43,0.561894
117,-2.3,1,24,0.559084
118,0.3,1,16,0.556289
119,20.3,3,25,0.553508
120,-12.0,0,9,0.55074
121,0.9,1,31,0.547986
122,21.3,3,51,0.545246
123,-9.8,0,11,0.54252
124,-1.1,1,33,0.539808
125,-9.4,0,13,0.537108
126,-2.7,1,37,0.534423
127,-10.2,0,15,0.531751
128,-11.6,0,8,0.529092
129,0.1,1,27,0.526447
130,1.1,1,14,0.523814
131,33.4,4,39,0.521195
132,10.2,2,23,0.518589
133,9.6,2,35,0.515996
134,0.3,1,16,0.513416
135,7.8,2,29,0.510849
136,1.1,1,11,0.508295
137,22.1,3,43,0.505754
138,11.0,2,9,0.503225
139,-10.4,0,11,0.500709
140,-11.6,0,20,0.498205
141,-0.3,1,34,0.495714
142,-10.2,0,6,0.493236
143,12.6,2,41,0.490769
144,0.7,1,21,0.488316
145,1.1,1,17,0.485874
146,-10.6,0,25,0.483445
147,-10.4,0,17,0.481027
148,0.3,1,13,0.478622
149,32.6,4,26,0.476229
150,-11.4,0,12,0.473848
151,-2.7,1,19,0.471479
152,10.2,2,44,0.469121
153,-1.9,1,32,0.466776
154,8.2,2,49,0.464442
155,51.6,6,54,0.46212
156,38.9,5,51,0.459809
157,12.2,2,27,0.45751
158,-0.3,1,31,0.455222
159,-0.3,1,19,0.452946
160,22.5,3,39,0.450682
161,-1.3,1,20,0.448428
162,20.5,3,35,0.446186
163,-1.3,1,26,0.443955
164,0.1,1,24,0.441735
165,12.4,2,19,0.439527
166,23.1,3,21,0.437329
167,-0.1,1,11,0.435142
168,11.4,2,11,0.432967
169,19.5,3,18,0.430802
170,-10.2,0,12,0.428648
171,0.7,1,15,0.426505
172,-2.1,1,34,0.424372
173,1.1,1,11,0.42225
174,-0.5,1,30,0.420139
175,1.5,1,19,0.418038
176,-10.0,0,7,0.415948
177,0.1,1,6,0.413868
178,-0.1,1,11,0.411799
179,10.4,2,9,0.40974
180,0.9,1,13,0.407691
181,21.5,3,28,0.405653
182,13.2,2,44,0.403625
183,62.1,7,79,0.401606
184,0.5,1,20,0.399598
185,50.6,6,64,0.3976
186,40.7,5,36,0.395612
187,15.0,2,41,0.393634
188,-0.1,1,23,0.391666
189,-9.6,0,6,0.389708
190,12.8,2,21,0.387759
191,1.1,1,11,0.385821
192,22.5,3,30,0.383891
193,-1.1,1,15,0.381972
194,0.9,1,25,0.380062
195,-9.2,0,5,0.378162
196,0.7,1,9,0.376271
197,21.5,3,22,0.37439
198,-0.5,1,33,0.372518
199,-0.3,1,22,0.370655
200,22.1,3,28,0.368802
201,11.8,2,19,0.366958
202,-0.3,1,10,0.365123
203,12.0,2,20,0.363297
204,10.2,2,32,0.361481
205,-0.9,1,10,0.359674
206,9.8,2,24,0.357875
207,22.1,3,31,0.356086
208,32.0,4,38,0.354305
209,9.2,2,27,0.352534
210,0.9,1,7,0.350771
211,-9.0,0,6,0.349017
212,1.7,1,23,0.347272
213,0.7,1,6,0.345536
214,0.9,1,22,0.343808
215,31.0,4,54,0.342089
216,32.4,4,31,0.340379
217,0.5,1,8,0.338677
218,34.8,4,52,0.336983
219,11.4,2,17,0.335298
220,-9.6,0,6,0.333622
221,39.7,5,64,0.331954
222,-0.3,1,13,0.330294
223,45.5,5,60,0.328643
224,0.3,1,10,0.326999
225,30.6,4,58,0.325364
226,12.0,2,23,0.323738
227,41.7,5,29,0.322119
228,19.9,3,29,0.320508
229,0.9,1,13,0.318906
230,0.9,1,10,0.317311
231,12.2,2,15,0.315725
232,60.9,7,88,0.314146
233,13.6,2,28,0.312575
234,21.1,3,20,0.311012
235,-0.1,1,20,0.309457
236,11.0,2,12,0.30791
237,19.9,3,35,0.306371
238,11.4,2,14,0.304839
239,28.6,4,51,0.303315
240,11.4,2,35,0.301798
241,1.1,1,23,0.300289
242,-8.8,0,7,0.298788
243,40.3,5,49,0.297294
244,-9.4,0,7,0.295807
245,-9.4,0,10,0.294328
246,11.0,2,18,0.292856
247,1.3,1,15,0.291392
248,22.1,3,22,0.289935
249,20.5,3,23,0.288486
250,32.6,4,35,0.287043
251,-1.9,1,20,0.285608
252,33.8,4,41,0.28418
253,19.5,3,45,0.282759
254,0.9,1,7,0.281345
255,1.7,1,11,0.279938
256,40.7,5,51,0.278539
