episode,reward,score,steps,epsilon
1,-10.0,0,9,1.0
2,0.0,1,11,0.995
3,-10.0,0,13,0.990025
4,-10.0,0,38,0.985075
5,-10.0,0,35,0.98015
6,-10.0,0,29,0.975249
7,0.0,1,12,0.970373
8,-10.0,0,11,0.965521
9,-10.0,0,15,0.960693
10,0.0,1,36,0.95589
11,-10.0,0,37,0.95111
12,-10.0,0,15,0.946355
13,-10.0,0,6,0.941623
14,-10.0,0,11,0.936915
15,-10.0,0,19,0.93223
16,-10.0,0,29,0.927569
17,0.0,1,16,0.922931
18,-10.0,0,28,0.918316
19,-10.0,0,96,0.913725
20,-10.0,0,6,0.909156
21,-10.0,0,29,0.90461
22,-10.0,0,14,0.900087
23,0.0,1,11,0.895587
24,-10.0,0,19,0.891109
25,-10.0,0,23,0.886654
26,-10.0,0,7,0.88222
27,-10.0,0,29,0.877809
28,-10.0,0,36,0.87342
29,-10.0,0,62,0.869053
30,-10.0,0,13,0.864708
31,-10.0,0,15,0.860384
32,-10.0,0,30,0.856082
33,-10.0,0,14,0.851802
34,-10.0,0,14,0.847543
35,-10.0,0,30,0.843305
36,0.0,1,24,0.839089
37,0.0,1,17,0.834893
38,0.0,1,9,0.830719
39,-10.0,0,18,0.826565
40,-10.0,0,15,0.822432
41,-10.0,0,17,0.81832
42,0.0,1,35,0.814229
43,-10.0,0,29,0.810157
44,-10.0,0,32,0.806107
45,0.0,1,29,0.802076
46,-10.0,0,9,0.798066
47,-10.0,0,21,0.794075
48,0.0,1,5,0.790105
49,-10.0,0,21,0.786154
50,-10.0,0,12,0.782224
51,0.0,1,6,0.778313
52,-10.0,0,6,0.774421
53,0.0,1,37,0.770549
54,-10.0,0,11,0.766696
55,-10.0,0,7,0.762863
56,-10.0,0,19,0.759048
57,-10.0,0,8,0.755253
58,-10.0,0,8,0.751477
59,-10.0,0,29,0.747719
60,-10.0,0,29,0.743981
61,-10.0,0,14,0.740261
62,-10.0,0,7,0.73656
63,-10.0,0,33,0.732877
64,0.0,1,20,0.729212
65,0.0,1,10,0.725566
66,-10.0,0,12,0.721939
67,0.0,1,48,0.718329
68,0.0,1,24,0.714737
69,-10.0,0,22,0.711164
70,-10.0,0,20,0.707608
71,-10.0,0,8,0.70407
72,0.0,1,3,0.700549
73,-10.0,0,18,0.697047
74,-10.0,0,12,0.693561
75,-10.0,0,9,0.690094
76,-10.0,0,11,0.686643
77,0.0,1,22,0.68321
78,-10.0,0,30,0.679794
